t,value
1637710421,0
1637710451,161
1637710481,161
1637710511,161
1637710541,161
1637710571,161
1637710601,161
1637710631,161
1637710661,161
1637710691,161
1637710721,161
1637710751,161
1637710781,161
1637710811,161
1637710841,161
1637710871,161
1637710901,161
