t,value
1637710421,0
1637710451,67
1637710481,67
1637710511,67
1637710541,67
1637710571,67
1637710601,67
1637710631,67
1637710661,67
1637710691,67
1637710721,67
1637710751,67
1637710781,67
1637710811,67
1637710841,67
1637710871,67
1637710901,67
