t,value
1637710421,5653922
1637710451,5653858
1637710481,5653858
1637710511,5653858
1637710541,5653858
1637710571,5653858
1637710601,5653858
1637710631,5653858
1637710661,5653858
1637710691,5653858
1637710721,5653858
1637710751,5653858
1637710781,5653858
1637710811,5653858
1637710841,5653858
1637710871,5653858
1637710901,5653858
1637710931,327756
