t,value
1637710421,83
1637710451,77
1637710481,74
1637710511,73
1637710541,73
1637710571,73
1637710601,73
1637710631,73
1637710661,73
1637710691,74
1637710721,74
1637710751,73
1637710781,73
1637710811,73
1637710841,73
1637710871,73
1637710901,73
1637710931,80
