t,value
1637710421,88
1637710451,82
1637710481,79
1637710511,78
1637710541,78
1637710571,78
1637710601,78
1637710631,78
1637710661,78
1637710691,79
1637710721,79
1637710751,78
1637710781,78
1637710811,78
1637710841,78
1637710871,78
1637710901,78
1637710931,86
