t,value
1637710421,8496
1637710451,8496
1637710481,8496
1637710511,8496
1637710541,8496
1637710571,8496
1637710601,8496
1637710631,8496
1637710661,8496
1637710691,8496
1637710721,8496
1637710751,8496
1637710781,8496
1637710811,8496
1637710841,8496
1637710871,8496
1637710901,8496
1637710931,0
